model,term,chisq,df,p,global_p
interaction__z_log_crp1,race_eth,2.2590042435995996,3,0.5204200657364748,0.34119744336293945
interaction__z_log_crp1,sbp1c,0.7323289764354791,1,0.39212931669964307,0.34119744336293945
interaction__z_log_crp1,sex,3.638279935784581,1,0.05646524200763816,0.34119744336293945
interaction__z_log_crp1,site_factor,2.8008947884142255,5,0.7306490061644346,0.34119744336293945
interaction__z_log_crp1,trig1,0.03535888824695391,1,0.8508456146199647,0.34119744336293945
interaction__z_log_crp1,z_log_crp1,0.3920272872901336,1,0.5312356939226276,0.34119744336293945
interaction__z_log_crp1,z_log_crp1:race_eth,4.061667370982283,3,0.25488170169062396,0.34119744336293945
interaction__z_log_ddimer1,age1c,1.3576143766611317,1,0.24395135916532254,0.5498297885157946
interaction__z_log_ddimer1,bmi1c,5.5859238435298146e-5,1,0.994036743043658,0.5498297885157946
interaction__z_log_ddimer1,cepgfr1c,0.004759822673153697,1,0.9449964107734964,0.5498297885157946
interaction__z_log_ddimer1,chol1,0.0682219437399408,1,0.7939434390905079,0.5498297885157946
interaction__z_log_ddimer1,cig1c,0.25117327736428885,1,0.6162501458164786,0.5498297885157946
interaction__z_log_ddimer1,dm031c,3.11012943900364,1,0.07780677674299988,0.5498297885157946
interaction__z_log_ddimer1,educ1,0.5963640876126218,1,0.4399686636891246,0.5498297885157946
interaction__z_log_ddimer1,hdl1,0.5216911138595917,1,0.4701211911521999,0.5498297885157946
interaction__z_log_ddimer1,htn1c,0.0548464039196985,1,0.8148350784007248,0.5498297885157946
interaction__z_log_ddimer1,income1,0.6100611574531486,1,0.4347647842112865,0.5498297885157946
interaction__z_log_ddimer1,ldl1,0.5003489785295053,1,0.4793468241814407,0.5498297885157946
interaction__z_log_ddimer1,pkyrs1c,2.8952375712320166,1,0.08884167744486983,0.5498297885157946
interaction__z_log_ddimer1,race_eth,3.204747406874508,3,0.36112156303208554,0.5498297885157946
interaction__z_log_ddimer1,sbp1c,0.5111442592535217,1,0.4746439341338313,0.5498297885157946
interaction__z_log_ddimer1,sex,3.4085827502304253,1,0.06485812740069603,0.5498297885157946
interaction__z_log_ddimer1,site_factor,2.5928415529214686,5,0.7624526055161791,0.5498297885157946
interaction__z_log_ddimer1,trig1,0.042102310669504296,1,0.8374248727425782,0.5498297885157946
interaction__z_log_ddimer1,z_log_ddimer1,0.36151603174113567,1,0.547665473518564,0.5498297885157946
interaction__z_log_ddimer1,z_log_ddimer1:race_eth,1.1680557238595028,3,0.7606756161313178,0.5498297885157946
interaction__z_log_il61,age1c,1.2934536877335074,1,0.2554124542417719,0.3411798831893031
interaction__z_log_il61,bmi1c,0.0072507100298274275,1,0.9321412649368686,0.3411798831893031
interaction__z_log_il61,cepgfr1c,0.07477195626431934,1,0.7845114629355525,0.3411798831893031
interaction__z_log_il61,chol1,0.1452511955874096,1,0.7031154329050704,0.3411798831893031
interaction__z_log_il61,cig1c,0.5222713246186977,1,0.4698744045108483,0.3411798831893031
interaction__z_log_il61,dm031c,3.1681296752830708,1,0.07508838880783598,0.3411798831893031
interaction__z_log_il61,educ1,0.6085631163999117,1,0.4353293356813801,0.3411798831893031
interaction__z_log_il61,hdl1,1.0582826884991599,1,0.30360719088345767,0.3411798831893031
interaction__z_log_il61,htn1c,0.0283933022676712,1,0.8661874874521808,0.3411798831893031
interaction__z_log_il61,income1,0.6575675939859016,1,0.41741998969001504,0.3411798831893031
interaction__z_log_il61,ldl1,0.7636725753770758,1,0.3821816377210115,0.3411798831893031
interaction__z_log_il61,pkyrs1c,2.468452274756081,1,0.11615224869896336,0.3411798831893031
interaction__z_log_il61,race_eth,2.163871926603557,3,0.5390994859483192,0.3411798831893031
interaction__z_log_il61,sbp1c,0.7525515425534185,1,0.3856695977561794,0.3411798831893031
interaction__z_log_il61,sex,3.3683445417672173,1,0.06646050666718709,0.3411798831893031
interaction__z_log_il61,site_factor,3.5182625816840067,5,0.6206260865489193,0.3411798831893031
interaction__z_log_il61,trig1,0.0015568164696646994,1,0.9685264235751726,0.3411798831893031
interaction__z_log_il61,z_log_il61,0.6870178417425646,1,0.40718057925201745,0.3411798831893031
interaction__z_log_il61,z_log_il61:race_eth,4.012931509330874,3,0.26007114203642,0.3411798831893031
